PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Age_Missing,Deck
1,1,2,"Anderson, Miss. Ruth",female,32.14435698506614,0,0,394467,26.849,,S,0,U
2,0,3,"Wilson, Mrs. Mary",female,28.607194141219725,0,0,775550,4.3433,,S,1,U
3,1,3,"Jackson, Mr. John",male,28.607194141219725,1,1,914401,6.8156,,S,1,U
4,0,3,"Jones, Mrs. Ruth",female,28.607194141219725,0,0,355600,18.8093,,S,1,U
5,0,1,"Anderson, Mr. William",male,28.607194141219725,1,1,507721,85.8484,,S,1,U
6,1,1,"Williams, Mr. George",male,33.87412161623643,0,0,258924,90.0879,,C,0,U
7,1,1,"Wilson, Mrs. Florence",female,26.72617619263101,1,0,713708,85.6643,,C,0,U
8,0,3,"Anderson, Col. William",male,19.390013255917733,0,0,815586,20.8264,,S,0,U
9,1,3,"Davis, Mr. William",male,30.34800505251777,1,0,902135,16.4857,,C,0,U
10,0,3,"Anderson, Mr. George",male,25.79363183655148,1,0,554517,16.5906,,S,0,U
11,0,1,"Wilson, Mr. Henry",male,38.517708553189166,0,1,324731,145.1099,,S,0,U
12,0,3,"Harris, Mr. John",male,61.17037861808818,0,0,784758,25.8526,,C,0,U
13,1,3,"Wilson, Mr. Joseph",male,31.387936751853744,1,0,321857,30.9487,D5,S,0,D
14,0,1,"Moore, Mr. James",male,18.21603275546787,0,0,692357,55.0493,,Q,0,U
15,1,1,"Williams, Mrs. Florence",female,21.66023833437301,0,0,555389,166.79919000000012,D25,S,0,D
16,0,1,"White, Mrs. Ethel",female,33.97714759265407,0,0,574679,29.1614,,S,0,U
17,1,2,"Garcia, Mr. Charles",male,28.607194141219725,1,3,216935,39.3525,C39,S,1,C
18,0,3,"Thomas, Mr. James",male,28.607194141219725,0,0,82723,7.9283,,S,1,U
19,0,2,"Jackson, Mr. James",male,26.039585912725244,0,0,236293,19.3106,,S,0,U
20,0,2,"Anderson, Mr. John",male,21.33298168875908,0,0,200477,20.1858,B59,S,0,B
21,0,3,"Wilson, Mr. Joseph",male,29.55882745807768,1,0,176020,6.0642,B56,C,0,B
22,1,1,"Wilson, Mr. Arthur",male,33.846386638448834,2,0,896696,88.3359,,S,0,U
23,0,2,"Garcia, Rev. Charles",male,44.96543349385193,5,0,980535,11.8466,,S,0,U
24,0,2,"Thomas, Mr. John",male,31.27663583381295,0,0,310065,7.6506,,S,0,U
25,0,3,"Williams, Mr. Robert",male,28.607194141219725,1,0,475787,12.6902,,C,1,U
26,0,3,"Davis, Mr. Joseph",male,44.205035410151766,0,0,480223,25.719,,S,0,U
27,1,1,"Harris, Mrs. Alice",female,28.607194141219725,0,0,824892,71.299,B12,S,1,B
28,1,3,"Wilson, Miss. Margaret",female,25.921091703139275,0,3,521174,20.5282,E39,Q,0,E
29,1,3,"Thomas, Mr. Henry",male,46.88338425066359,0,0,424287,6.2347,F74,S,0,F
30,1,1,"Anderson, Mrs. Anna",female,5.794447870094313,2,0,731478,19.8262,,S,0,U
31,0,3,"Johnson, Mr. Charles",male,18.907822509142516,0,0,189354,16.6309,,C,0,U
32,1,1,"Garcia, Mrs. Emma",female,39.61218016877267,1,0,626013,166.79919000000012,,C,0,U
33,1,1,"Thomas, Miss. Alice",female,24.67927721598228,1,6,330589,94.4477,,S,0,U
34,0,3,"Smith, Mr. Henry",male,34.572739045911874,1,1,746427,19.6132,,S,0,U
35,0,3,"Martinez, Mr. Robert",male,54.24869007915315,0,0,354352,24.961,,S,0,U
36,0,3,"Thomas, Mr. George",male,39.84034518033171,0,0,458032,12.7078,,S,0,U
37,0,2,"Harris, Mr. Arthur",male,44.50014499616246,1,0,378427,18.4794,C55,Q,0,C
38,1,1,"Martin, Mr. George",male,28.607194141219725,0,0,95779,107.6044,D33,S,1,D
39,0,3,"Williams, Major. Edward",male,29.99833192017269,0,0,13060,18.2002,,S,0,U
40,0,2,"Williams, Mr. Arthur",male,28.607194141219725,0,2,660094,6.0102,,S,1,U
41,1,1,"Johnson, Mrs. Rose",female,23.17342873601471,0,2,285875,98.7863,,S,0,U
42,1,3,"White, Miss. Anna",female,6.590769842193001,1,5,349974,12.9945,,C,0,U
43,1,1,"Moore, Mr. Joseph",male,23.56631482373541,0,1,650159,44.5241,A83,S,0,A
44,1,3,"Brown, Mr. Arthur",male,5.666437046364589,0,0,555007,12.4415,,Q,0,U
45,0,2,"Thomas, Mr. Joseph",male,44.63351420822309,0,0,974546,8.3468,,S,0,U
46,0,3,"Johnson, Mr. Charles",male,34.896773288484816,0,0,583404,0.9126,F28,S,0,F
47,0,2,"Anderson, Miss. Margaret",female,29.941630619055207,0,0,524583,20.6685,,C,0,U
48,0,3,"Miller, Dr. George",male,26.63786062769512,0,0,560613,20.2166,A19,C,0,A
49,0,3,"Brown, Mr. Charles",male,61.17037861808818,0,1,950101,10.2217,,C,0,U
50,1,1,"Taylor, Dr. William",male,28.607194141219725,0,1,994943,35.9635,,C,1,U
51,1,3,"Jones, Mr. Henry",male,18.053753704431337,0,2,24551,6.5576,,S,0,U
52,1,3,"Wilson, Mrs. Rose",female,20.450014612244008,0,1,365431,17.3916,,S,0,U
53,1,3,"Miller, Mrs. Ethel",female,24.644950771767338,0,6,296422,26.3391,,Q,0,U
54,0,3,"Jackson, Mr. Robert",male,61.17037861808818,0,0,494405,19.1636,,S,0,U
55,0,3,"Davis, Mr. William",male,28.607194141219725,2,1,25141,23.4063,D42,S,1,D
56,0,3,"Jones, Mr. Robert",male,12.21427758428798,0,0,340057,4.619,,S,0,U
57,1,1,"Brown, Mrs. Ruth",female,29.90461961245976,0,0,830047,80.3035,,S,0,U
58,1,1,"Johnson, Miss. Emma",female,23.833986853124628,0,4,656346,134.9345,,C,0,U
59,1,1,"Martinez, Mr. William",male,18.272067953470422,3,2,728111,14.0411,D3,S,0,D
60,0,2,"Jackson, Mr. Arthur",male,14.888505600609044,0,0,646972,13.4163,,C,0,U
61,1,2,"Miller, Mrs. Florence",female,6.646806402769425,1,0,299596,29.4202,,S,0,U
62,0,2,"Martinez, Mr. Charles",male,33.3436114066098,0,0,425941,22.5843,,S,0,U
63,0,3,"Thompson, Mrs. Anna",female,39.74470521234145,2,0,584679,5.2791,,S,0,U
64,1,2,"Thompson, Mr. Joseph",male,28.607194141219725,1,2,654576,3.6918,,S,1,U
65,0,2,"Jackson, Mr. Henry",male,18.769835718864982,0,0,740420,33.3732,,S,0,U
66,0,3,"Brown, Mr. Henry",male,49.12616479583107,0,0,123535,3.4271,,S,0,U
67,0,1,"Harris, Mr. Robert",male,28.607194141219725,0,0,152770,115.6198,,S,1,U
68,0,3,"Moore, Col. George",male,60.296103234772986,0,0,249947,8.7356,,S,0,U
69,1,1,"Taylor, Mrs. Mary",female,27.472841997430947,0,0,620999,136.3534,,S,0,U
70,0,3,"Jackson, Mr. William",male,17.116660583130717,0,2,874282,4.6628,E55,S,0,E
71,1,3,"Martinez, Mr. Arthur",male,1.644146833513286,0,0,906165,33.9184,,S,0,U
72,1,1,"Martinez, Mr. George",male,41.32494611190616,0,0,274509,104.1149,,S,0,U
73,0,1,"Thompson, Mr. George",male,24.76147613613743,0,0,762913,112.3535,,C,0,U
74,0,3,"Brown, Mr. Charles",male,27.8220802766943,0,0,894094,6.8156,A63,S,0,A
75,0,3,"Davis, Dr. William",male,40.7267441284375,0,1,577660,11.933,,C,0,U
76,1,3,"Smith, Miss. Florence",female,28.607194141219725,5,0,578422,12.1404,A65,C,1,A
77,0,3,"Miller, Mr. Joseph",male,47.13194476937007,0,0,834255,27.3685,,S,0,U
78,0,1,"Brown, Mr. Edward",male,13.552221682638889,1,0,605446,104.0288,,C,0,U
79,0,2,"Thomas, Mr. Henry",male,49.96252649474424,0,0,892508,25.4383,E26,S,0,E
80,1,1,"Davis, Mrs. Ruth",female,26.897344229423343,0,0,771447,110.6324,C6,C,0,C
81,1,3,"Taylor, Mrs. Helen",female,47.63143883909534,0,0,143021,18.0289,D75,C,0,D
82,1,3,"Taylor, Miss. Helen",female,32.62061501321874,0,1,583684,1.8844,,S,0,U
83,0,2,"Thomas, Mr. Charles",male,33.05235128985591,1,0,380480,40.4927,C3,S,0,C
84,1,1,"Anderson, Mr. Arthur",male,16.29660055486405,0,0,41912,40.1256,,S,0,U
85,0,2,"Anderson, Mr. Charles",male,28.767377431535387,0,0,66947,19.616,,S,0,U
86,0,2,"Garcia, Mr. Robert",male,34.73553482540849,3,0,523676,35.3148,E60,S,0,E
87,0,3,"Miller, Dr. James",male,28.607194141219725,0,2,500913,28.477,,S,1,U
88,0,3,"Anderson, Col. Robert",male,23.079039270005964,5,0,54387,19.4476,D29,S,0,D
89,0,3,"Taylor, Mr. Edward",male,12.490255118164832,5,0,991469,8.9624,,S,0,U
90,0,3,"White, Mr. Arthur",male,30.30721331501465,0,2,288652,14.0219,,Q,0,U
91,1,1,"Garcia, Mrs. Margaret",female,35.68840162072302,0,0,317736,92.3484,,C,0,U
92,0,3,"Jones, Mr. William",male,20.396027415928103,0,0,643537,14.6191,,S,0,U
93,0,3,"Martinez, Col. Joseph",male,28.607194141219725,0,0,11919,3.1596,,S,1,U
94,1,3,"Moore, Mrs. Alice",female,41.74121167832576,0,0,839027,23.0809,,S,0,U
95,0,3,"Brown, Mr. Joseph",male,28.607194141219725,3,0,150689,14.0767,,S,1,U
96,1,3,"Davis, Miss. Mary",female,49.21043258951183,1,0,478484,7.2222,,C,0,U
97,0,3,"Thompson, Major. James",male,28.607194141219725,0,0,43298,9.0129,,S,1,U
